2	 1:1	 2:21	 3:1.62	 4:64	 5:2	 6:1	 7:2	 8:3	 9:3	 10:1	 11:2	 12:1	 13:0	 14:1	 15:4	 16:4
1	 1:2	 2:23	 3:1.835643	 4:58.854416	 5:2	 6:2	 7:3	 8:3	 9:3	 10:1	 11:2.027984	 12:1	 13:1.661556	 14:.114716	 15:3	 16:1
1	 1:2	 2:18.216032	 3:1.755507	 4:52	 5:2	 6:2	 7:3	 8:3	 9:2	 10:1	 11:2	 12:1	 13:.658894	 14:1	 15:4	 16:4
1	 1:2	 2:21.81119	 3:1.71266	 4:51.598593	 5:2	 6:2	 7:3	 8:3.156153	 9:2	 10:1	 11:1.253803	 12:1	 13:.544784	 14:.256382	 15:4	 16:4
1	 1:2	 2:18.164768	 3:1.694265	 4:52	 5:2	 6:2	 7:3	 8:3	 9:2	 10:1	 11:2	 12:1	 13:.819682	 14:1	 15:4	 16:4
1	 1:1	 2:18.871794	 3:1.586895	 4:41.452385	 5:1	 6:2	 7:2	 8:1.07976	 9:3	 10:1	 11:1	 12:1	 13:.194745	 14:1.547086	 15:3	 16:4
1	 1:1	 2:18.766033	 3:1.579561	 4:41.890204	 5:1	 6:2	 7:2.027574	 8:1	 9:3	 10:1	 11:1.636326	 12:1	 13:0	 14:1.906141	 15:3	 16:4
1	 1:1	 2:18.540535	 3:1.564568	 4:41.397378	 5:1	 6:2	 7:2.658112	 8:1	 9:3	 10:1	 11:1.298165	 12:1	 13:0	 14:1.639326	 15:3	 16:4
1	 1:1	 2:19.88036	 3:1.670635	 4:49.742931	 5:1	 6:1	 7:2.88626	 8:3.559841	 9:2	 10:1	 11:1.632004	 12:1	 13:2	 14:1	 15:3	 16:4
1	 1:1	 2:19.717249	 3:1.688426	 4:49.660995	 5:1	 6:1	 7:2.714447	 8:3	 9:2	 10:1	 11:2	 12:1	 13:1.903182	 14:1	 15:3	 16:4
1	 1:1	 2:19.633898	 3:1.66084	 4:49.039794	 5:1	 6:1	 7:2.750715	 8:3	 9:2	 10:1	 11:2	 12:1	 13:1.067817	 14:1	 15:3	 16:4
1	 1:1	 2:23	 3:1.710182	 4:50.287967	 5:2	 6:2	 7:2	 8:3	 9:2	 10:1	 11:2.099863	 12:1	 13:1.63581	 14:2	 15:4	 16:4
1	 1:1	 2:20.406871	 3:1.755978	 4:53.699561	 5:2	 6:2	 7:2	 8:3.891994	 9:2	 10:1	 11:1.86393	 12:1	 13:2.870127	 14:2	 15:4	 16:4
1	 1:1	 2:23	 3:1.728834	 4:51.442293	 5:2	 6:2	 7:2	 8:3	 9:2	 10:1	 11:1.229915	 12:1	 13:.619533	 14:2	 15:4	 16:4
1	 1:1	 2:19.058511	 3:1.662017	 4:49.838965	 5:1	 6:2	 7:1.4925	 8:3	 9:3	 10:1	 11:1.049134	 12:1	 13:2	 14:1	 15:3	 16:4
1	 1:1	 2:18.827008	 3:1.7	 4:50	 5:1	 6:2	 7:1	 8:3.240578	 9:3	 10:1	 11:1	 12:1	 13:2	 14:1	 15:3	 16:4
1	 1:1	 2:19.314964	 3:1.661403	 4:49.932199	 5:1	 6:2	 7:2.205439	 8:3	 9:3	 10:1	 11:1.530531	 12:1	 13:2	 14:1	 15:3	 16:4
1	 1:1	 2:29.970445	 3:1.610863	 4:49.516027	 5:2	 6:2	 7:2.059138	 8:3.904858	 9:2	 10:1	 11:2	 12:1	 13:.821977	 14:0	 15:4	 16:4
1	 1:1	 2:32.383858	 3:1.640688	 4:46.655622	 5:2	 6:2	 7:3	 8:3.11158	 9:2	 10:1	 11:2.721769	 12:1	 13:1.44287	 14:0	 15:4	 16:4
1	 1:1	 2:24.163526	 3:1.64603	 4:49.839685	 5:2	 6:2	 7:3	 8:3.590039	 9:2	 10:1	 11:2.7305	 12:1	 13:.107078	 14:0	 15:4	 16:4
1	 1:2	 2:17.038222	 3:1.710564	 4:51.588874	 5:1	 6:2	 7:2	 8:2.057935	 9:3	 10:1	 11:2.371015	 12:1	 13:.288032	 14:.714627	 15:3	 16:4
1	 1:2	 2:16.30687	 3:1.752755	 4:50	 5:1	 6:2	 7:2.310423	 8:3.558637	 9:3	 10:1	 11:1.787843	 12:1	 13:1.926592	 14:.828549	 15:3	 16:4
1	 1:2	 2:16.198153	 3:1.691007	 4:52.629374	 5:1	 6:2	 7:2	 8:2.000986	 9:3	 10:1	 11:2.673835	 12:1	 13:.99295	 14:.474836	 15:3	 16:4
1	 1:2	 2:18	 3:1.753349	 4:51.457226	 5:1	 6:2	 7:2.823179	 8:3	 9:3	 10:1	 11:1.773236	 12:1	 13:1.252472	 14:1	 15:3	 16:4
1	 1:2	 2:18	 3:1.781543	 4:50.869704	 5:1	 6:2	 7:2.052932	 8:3	 9:3	 10:1	 11:2	 12:1	 13:.520408	 14:1	 15:3	 16:4
1	 1:2	 2:18	 3:1.755823	 4:52.331172	 5:1	 6:2	 7:2.596364	 8:3	 9:3	 10:1	 11:2	 12:1	 13:.281734	 14:1.488372	 15:3	 16:4
1	 1:2	 2:17.486869	 3:1.836669	 4:58.943347	 5:2	 6:2	 7:2.767731	 8:3.821168	 9:3	 10:1	 11:2	 12:1	 13:2	 14:.556245	 15:4	 16:1
1	 1:2	 2:19.920629	 3:1.768493	 4:57.790381	 5:2	 6:2	 7:2	 8:3.897078	 9:3	 10:1	 11:2.622638	 12:1	 13:2	 14:1.894105	 15:4	 16:1
1	 1:2	 2:18.426619	 3:1.777108	 4:57.145917	 5:2	 6:2	 7:2	 8:3.092116	 9:3	 10:1	 11:2.426465	 12:1	 13:2	 14:1.839862	 15:4	 16:1
1	 1:1	 2:17.082867	 3:1.640824	 4:43.365005	 5:1	 6:2	 7:2.815157	 8:3	 9:3	 10:1	 11:2.911187	 12:1	 13:2.595128	 14:1.380204	 15:3	 16:4
1	 1:1	 2:17.000433	 3:1.584951	 4:44.411801	 5:1	 6:2	 7:2.737762	 8:3	 9:3	 10:1	 11:2.310921	 12:1	 13:2.240714	 14:1.59257	 15:3	 16:4
1	 1:1	 2:16.270434	 3:1.818268	 4:47.124717	 5:1	 6:2	 7:3	 8:3.286431	 9:3	 10:1	 11:2.148146	 12:1	 13:2.458237	 14:1.273333	 15:3	 16:4
1	 1:2	 2:17.908114	 3:1.793926	 4:59.682591	 5:2	 6:2	 7:2.568063	 8:4	 9:3	 10:1	 11:2	 12:1	 13:2	 14:.220029	 15:4	 16:1
1	 1:2	 2:17.120699	 3:1.809251	 4:58.968994	 5:2	 6:2	 7:2.524428	 8:4	 9:3	 10:1	 11:2	 12:1	 13:2	 14:.03838	 15:4	 16:1
1	 1:2	 2:19.329542	 3:1.767335	 4:55.700497	 5:2	 6:2	 7:2	 8:4	 9:3	 10:1	 11:2.157395	 12:1	 13:2	 14:1.679149	 15:4	 16:1
1	 1:1	 2:22.377998	 3:1.699568	 4:54.98774	 5:2	 6:2	 7:3	 8:3	 9:2	 10:1	 11:2	 12:1	 13:.139808	 14:.875464	 15:4	 16:4
1	 1:1	 2:20.954955	 3:1.759358	 4:55.01045	 5:2	 6:2	 7:2.971574	 8:3.592415	 9:2	 10:1	 11:2.894678	 12:1	 13:2	 14:1.009632	 15:4	 16:4
1	 1:1	 2:22.991668	 3:1.740295	 4:54.166453	 5:2	 6:2	 7:3	 8:3	 9:2	 10:1	 11:2.025279	 12:1	 13:2	 14:.152985	 15:4	 16:4
1	 1:1	 2:19.300435	 3:1.739354	 4:49.649613	 5:1	 6:2	 7:3	 8:3.754599	 9:3	 10:1	 11:1.692112	 12:1	 13:2	 14:1	 15:3	 16:4
1	 1:1	 2:17.065445	 3:1.647811	 4:49.603807	 5:1	 6:2	 7:3	 8:3.566082	 9:3	 10:1	 11:1.438398	 12:1	 13:2	 14:1	 15:3	 16:4
1	 1:1	 2:19.084967	 3:1.768435	 4:49.597765	 5:1	 6:2	 7:3	 8:3.725797	 9:3	 10:1	 11:1.191401	 12:1	 13:2	 14:1	 15:3	 16:4
1	 1:1	 2:18.024853	 3:1.7	 4:50	 5:1	 6:2	 7:1.0816	 8:3.520555	 9:2	 10:1	 11:1.016968	 12:1	 13:.651412	 14:1	 15:3	 16:4
1	 1:1	 2:19.833682	 3:1.699464	 4:49.676046	 5:1	 6:2	 7:1.270448	 8:3.731212	 9:2	 10:1	 11:1.876915	 12:1	 13:2	 14:1	 15:3	 16:4
1	 1:1	 2:17.767432	 3:1.74379	 4:50	 5:1	 6:2	 7:1.344854	 8:4	 9:2	 10:1	 11:1	 12:1	 13:2	 14:1	 15:3	 16:4
1	 1:1	 2:19.504696	 3:1.590317	 4:42.367615	 5:1	 6:1	 7:2.959658	 8:3	 9:2	 10:1	 11:1	 12:1	 13:1.522399	 14:0	 15:3	 16:4
1	 1:1	 2:19.950605	 3:1.527133	 4:42	 5:1	 6:1	 7:2.725282	 8:1.259803	 9:2	 10:1	 11:1	 12:1	 13:1.37467	 14:0	 15:3	 16:4
1	 1:1	 2:19	 3:1.530875	 4:42	 5:1	 6:1	 7:2.844607	 8:1.273128	 9:2	 10:1	 11:1.69551	 12:1	 13:.260079	 14:.635867	 15:3	 16:4
1	 1:2	 2:17	 3:1.848294	 4:59.409018	 5:2	 6:2	 7:2.44004	 8:3	 9:3	 10:1	 11:2	 12:1	 13:2.784471	 14:1	 15:4	 16:1
1	 1:2	 2:17	 3:1.824414	 4:59.295172	 5:2	 6:2	 7:2.432302	 8:3	 9:3	 10:1	 11:2	 12:1	 13:2.349495	 14:1	 15:4	 16:1
1	 1:2	 2:18.525525	 3:1.856633	 4:59.258372	 5:2	 6:2	 7:2.592247	 8:3.304123	 9:3	 10:1	 11:2.036764	 12:1	 13:2.038653	 14:1.119877	 15:4	 16:1
1	 1:1	 2:22.926352	 3:1.715597	 4:50	 5:2	 6:2	 7:2.449267	 8:3.647154	 9:2	 10:1	 11:1.266018	 12:1	 13:.866045	 14:.097234	 15:4	 16:4
1	 1:1	 2:21.785351	 3:1.675054	 4:49.945233	 5:2	 6:2	 7:2.929889	 8:3	 9:2	 10:1	 11:2.792074	 12:1	 13:.630944	 14:1.366355	 15:4	 16:4
1	 1:1	 2:23	 3:1.717601	 4:51.073918	 5:2	 6:2	 7:2	 8:3	 9:2	 10:1	 11:1.426874	 12:1	 13:2.20208	 14:2	 15:4	 16:4
1	 1:1	 2:17.402028	 3:1.710756	 4:50	 5:1	 6:2	 7:2.015258	 8:3.300666	 9:3	 10:1	 11:1.315608	 12:1	 13:.069802	 14:1	 15:3	 16:4
1	 1:1	 2:18	 3:1.7	 4:50	 5:1	 6:2	 7:1.031149	 8:3	 9:3	 10:1	 11:1.963628	 12:1	 13:.028202	 14:1	 15:3	 16:4
1	 1:1	 2:18.48207	 3:1.7	 4:50	 5:1	 6:2	 7:1.592183	 8:3.535016	 9:3	 10:1	 11:1.086391	 12:1	 13:.618913	 14:1	 15:3	 16:4
1	 1:1	 2:18.53084	 3:1.573816	 4:39.850137	 5:1	 6:2	 7:1.21498	 8:1.717608	 9:3	 10:1	 11:1.179942	 12:1	 13:.684739	 14:2	 15:3	 16:4
1	 1:1	 2:19.94814	 3:1.530884	 4:39.371523	 5:1	 6:2	 7:1.522001	 8:3	 9:3	 10:1	 11:1.98126	 12:1	 13:2.306844	 14:.720454	 15:3	 16:4
1	 1:1	 2:20.400053	 3:1.529724	 4:40.343463	 5:1	 6:2	 7:2.703436	 8:2.884479	 9:3	 10:1	 11:1.439962	 12:1	 13:.144627	 14:.322307	 15:3	 16:4
1	 1:2	 2:19.556729	 3:1.767563	 4:56.307019	 5:2	 6:2	 7:2.362918	 8:4	 9:3	 10:1	 11:2.358172	 12:1	 13:2	 14:.939819	 15:4	 16:1
1	 1:2	 2:17.70368	 3:1.883364	 4:60	 5:2	 6:2	 7:3	 8:3.626815	 9:3	 10:1	 11:2	 12:1	 13:2.011519	 14:.456462	 15:4	 16:1
1	 1:2	 2:18.274358	 3:1.824655	 4:58.621349	 5:2	 6:2	 7:2.14084	 8:4	 9:3	 10:1	 11:2.931438	 12:1	 13:2	 14:1.164457	 15:4	 16:1
1	 1:2	 2:18	 3:1.840138	 4:60	 5:2	 6:2	 7:3	 8:4	 9:3	 10:1	 11:2	 12:1	 13:2	 14:0	 15:4	 16:1
1	 1:2	 2:17.210933	 3:1.819557	 4:58.325122	 5:2	 6:2	 7:2.5596	 8:4	 9:3	 10:1	 11:2	 12:1	 13:2	 14:.331483	 15:4	 16:1
1	 1:2	 2:17.469417	 3:1.798645	 4:59.612717	 5:2	 6:2	 7:2.336044	 8:4	 9:3	 10:1	 11:2	 12:1	 13:2	 14:.133005	 15:4	 16:1
1	 1:2	 2:18	 3:1.7108	 4:50.92538	 5:2	 6:2	 7:2	 8:3	 9:3	 10:1	 11:2	 12:1	 13:0	 14:1.593704	 15:3	 16:4
1	 1:2	 2:18	 3:1.70653	 4:51.121749	 5:2	 6:2	 7:2	 8:3	 9:3	 10:1	 11:2	 12:1	 13:0	 14:1.329237	 15:3	 16:4
1	 1:2	 2:18	 3:1.716691	 4:51.149283	 5:2	 6:2	 7:1.813234	 8:3	 9:3	 10:1	 11:1.274815	 12:1	 13:.520407	 14:1.673584	 15:3	 16:4
1	 1:1	 2:19.010211	 3:1.555431	 4:44.188767	 5:1	 6:1	 7:2.724285	 8:3	 9:2	 10:1	 11:1	 12:2	 13:1.070331	 14:0	 15:3	 16:4
1	 1:1	 2:19.091346	 3:1.603923	 4:45	 5:1	 6:1	 7:3	 8:3	 9:2	 10:1	 11:1.28246	 12:2	 13:1.60195	 14:0	 15:3	 16:4
1	 1:1	 2:19.773303	 3:1.602082	 4:45	 5:1	 6:1	 7:3	 8:3	 9:2	 10:1	 11:2.875583	 12:2	 13:1.258504	 14:0	 15:3	 16:4
1	 1:1	 2:19.483036	 3:1.53777	 4:42	 5:1	 6:2	 7:3	 8:1	 9:2	 10:1	 11:1.387531	 12:1	 13:0	 14:.466169	 15:3	 16:4
1	 1:1	 2:19	 3:1.538398	 4:42	 5:1	 6:2	 7:2.71897	 8:1.473088	 9:2	 10:1	 11:1.164644	 12:1	 13:1.235675	 14:.930926	 15:3	 16:4
1	 1:1	 2:19.407204	 3:1.520862	 4:42	 5:1	 6:2	 7:3	 8:1	 9:2	 10:1	 11:1.848703	 12:1	 13:0	 14:.744555	 15:3	 16:4
1	 1:2	 2:18	 3:1.717826	 4:51.7325	 5:2	 6:2	 7:1.133844	 8:3	 9:3	 10:1	 11:1.325326	 12:1	 13:.227985	 14:1.708309	 15:3	 16:4
1	 1:2	 2:18.424941	 3:1.753389	 4:54.121925	 5:2	 6:2	 7:2	 8:3.16645	 9:3	 10:1	 11:2.278578	 12:1	 13:1.838881	 14:2	 15:3	 16:4
1	 1:2	 2:18	 3:1.70165	 4:50.157707	 5:2	 6:2	 7:1.757466	 8:3	 9:3	 10:1	 11:1.153559	 12:1	 13:.833976	 14:1.616045	 15:3	 16:4
1	 1:2	 2:19.97981	 3:1.75336	 4:54.997374	 5:2	 6:2	 7:2	 8:3.494849	 9:3	 10:1	 11:2.976672	 12:1	 13:1.94907	 14:2	 15:4	 16:4
1	 1:1	 2:21.798856	 3:1.672007	 4:49.980968	 5:2	 6:2	 7:2.979383	 8:3	 9:2	 10:1	 11:2.975887	 12:1	 13:.945093	 14:1.241755	 15:4	 16:4
1	 1:1	 2:22.209706	 3:1.593847	 4:44.050251	 5:1	 6:1	 7:3	 8:2.99321	 9:2	 10:1	 11:2.702783	 12:1	 13:1.967234	 14:0	 15:4	 16:4
1	 1:1	 2:23.018443	 3:1.584785	 4:44.376637	 5:1	 6:1	 7:2.204914	 8:2.127797	 9:2	 10:1	 11:2.120292	 12:1	 13:.995735	 14:0	 15:4	 16:4
1	 1:1	 2:19.376997	 3:1.600264	 4:45	 5:1	 6:1	 7:3	 8:3	 9:2	 10:1	 11:2.949419	 12:2	 13:1.295697	 14:0	 15:3	 16:4
1	 1:1	 2:20.971429	 3:1.549311	 4:41.557468	 5:1	 6:2	 7:2.927218	 8:1	 9:2	 10:1	 11:1	 12:1	 13:0	 14:.276592	 15:3	 16:4
1	 1:1	 2:20.345161	 3:1.534385	 4:41.96525	 5:1	 6:2	 7:2.88853	 8:1	 9:2	 10:1	 11:1	 12:1	 13:0	 14:.196224	 15:3	 16:4
1	 1:1	 2:20.519916	 3:1.725548	 4:49.815599	 5:2	 6:1	 7:2.890535	 8:3.90779	 9:2	 10:1	 11:1.109115	 12:1	 13:1.548953	 14:.555468	 15:4	 16:4
1	 1:2	 2:20.406066	 3:1.868931	 4:63.199726	 5:2	 6:2	 7:3	 8:3.699594	 9:3	 10:1	 11:2.825629	 12:1	 13:1.699592	 14:.071028	 15:3	 16:1
1	 1:1	 2:21.478496	 3:1.686936	 4:51.256059	 5:2	 6:2	 7:3	 8:3.179995	 9:2	 10:1	 11:1.910378	 12:1	 13:.480614	 14:.625079	 15:4	 16:4
1	 1:1	 2:18.372563	 3:1.589829	 4:40.202773	 5:1	 6:2	 7:2	 8:1.075553	 9:3	 10:1	 11:1	 12:1	 13:.127425	 14:1.679442	 15:3	 16:4
1	 1:1	 2:19.931667	 3:1.653209	 4:49.026214	 5:1	 6:1	 7:2.530066	 8:3	 9:3	 10:1	 11:1.965237	 12:1	 13:2	 14:1	 15:3	 16:4
1	 1:1	 2:22.998709	 3:1.740108	 4:53.65727	 5:2	 6:2	 7:2.241606	 8:3	 9:2	 10:1	 11:1.846626	 12:1	 13:2.460238	 14:.814518	 15:4	 16:4
1	 1:1	 2:18.006742	 3:1.7	 4:50	 5:1	 6:2	 7:1.003566	 8:3.238258	 9:2	 10:1	 11:1.014634	 12:1	 13:.783676	 14:1	 15:3	 16:4
1	 1:1	 2:34.799519	 3:1.689141	 4:50	 5:2	 6:2	 7:2.652779	 8:3.804944	 9:2	 10:1	 11:1.60114	 12:1	 13:.174692	 14:.096982	 15:4	 16:4
1	 1:2	 2:16.496978	 3:1.691206	 4:50	 5:1	 6:2	 7:2	 8:1.630846	 9:3	 10:1	 11:2.975528	 12:1	 13:.548991	 14:.369134	 15:3	 16:4
1	 1:2	 2:18	 3:1.788459	 4:51.552595	 5:1	 6:2	 7:2.897899	 8:3	 9:3	 10:1	 11:1.835545	 12:1	 13:1.162519	 14:1	 15:3	 16:4
1	 1:2	 2:17.377131	 3:1.811238	 4:58.83071	 5:2	 6:2	 7:2.483979	 8:3.762778	 9:3	 10:1	 11:2	 12:1	 13:2	 14:.930051	 15:4	 16:1
1	 1:1	 2:16.611837	 3:1.830068	 4:43.534531	 5:1	 6:2	 7:2.945967	 8:3	 9:3	 10:1	 11:2.953192	 12:1	 13:2.830911	 14:1.466667	 15:3	 16:4
1	 1:2	 2:17.080493	 3:1.782756	 4:56.029418	 5:2	 6:2	 7:2	 8:4	 9:3	 10:1	 11:2.28525	 12:1	 13:2	 14:1.162801	 15:4	 16:1
1	 1:1	 2:22.970655	 3:1.751691	 4:55.967655	 5:2	 6:2	 7:2.478891	 8:3.371832	 9:2	 10:1	 11:2.004126	 12:1	 13:2	 14:.327376	 15:4	 16:4
1	 1:1	 2:17.764764	 3:1.78656	 4:50	 5:1	 6:2	 7:2.784464	 8:4	 9:3	 10:1	 11:1	 12:1	 13:2	 14:1	 15:3	 16:4
1	 1:1	 2:19.272573	 3:1.71367	 4:50	 5:1	 6:2	 7:1.005578	 8:4	 9:2	 10:1	 11:1	 12:1	 13:1.683957	 14:.704978	 15:3	 16:4
1	 1:1	 2:19	 3:1.540375	 4:42.006282	 5:1	 6:1	 7:2.938031	 8:2.705445	 9:2	 10:1	 11:1.333807	 12:2	 13:1.877369	 14:.370973	 15:3	 16:4
1	 1:2	 2:17.06713	 3:1.896734	 4:59.895052	 5:2	 6:2	 7:2.842102	 8:3.34175	 9:3	 10:1	 11:2	 12:1	 13:2.511157	 14:.560351	 15:4	 16:1
1	 1:1	 2:23	 3:1.710129	 4:50.079991	 5:2	 6:2	 7:2	 8:3	 9:2	 10:1	 11:2.685842	 12:1	 13:.373186	 14:2	 15:4	 16:4
1	 1:1	 2:18	 3:1.704193	 4:50.631889	 5:1	 6:2	 7:2	 8:3	 9:3	 10:1	 11:2	 12:1	 13:0	 14:1.525597	 15:3	 16:4
1	 1:1	 2:19.054008	 3:1.556611	 4:39.695295	 5:1	 6:2	 7:1.889199	 8:2.217651	 9:3	 10:1	 11:2.013605	 12:1	 13:2.075293	 14:1.683261	 15:3	 16:4
1	 1:2	 2:18	 3:1.845399	 4:60	 5:2	 6:2	 7:3	 8:4	 9:3	 10:1	 11:2	 12:1	 13:2	 14:0	 15:4	 16:1
1	 1:2	 2:17.491272	 3:1.834637	 4:59.990861	 5:2	 6:2	 7:2.943749	 8:4	 9:3	 10:1	 11:2	 12:1	 13:2	 14:.128895	 15:4	 16:1
1	 1:2	 2:18	 3:1.721854	 4:52.514302	 5:2	 6:2	 7:2.33998	 8:3	 9:3	 10:1	 11:2	 12:1	 13:.027433	 14:1.884138	 15:3	 16:4
1	 1:1	 2:20.172661	 3:1.605521	 4:44.661461	 5:1	 6:1	 7:3	 8:2.893778	 9:2	 10:1	 11:1	 12:2	 13:.769726	 14:0	 15:3	 16:4
1	 1:1	 2:19.220108	 3:1.530266	 4:42	 5:1	 6:2	 7:3	 8:1	 9:2	 10:1	 11:1.954889	 12:1	 13:0	 14:.907868	 15:3	 16:4
1	 1:2	 2:18	 3:1.71889	 4:52.058335	 5:2	 6:2	 7:1.950742	 8:3	 9:3	 10:1	 11:1.751723	 12:1	 13:.201136	 14:1.743319	 15:3	 16:4
1	 1:2	 2:19.96247	 3:1.756338	 4:54.98234	 5:2	 6:2	 7:2.277436	 8:3.502604	 9:3	 10:1	 11:2.891713	 12:1	 13:1.696294	 14:1.894902	 15:4	 16:4
1	 1:2	 2:17.580627	 3:1.770324	 4:55.695253	 5:2	 6:2	 7:2	 8:4	 9:3	 10:1	 11:2.369627	 12:1	 13:2	 14:1.612466	 15:4	 16:1
1	 1:1	 2:21.125098	 3:1.767479	 4:56.265959	 5:2	 6:2	 7:2.371338	 8:3.998766	 9:2	 10:1	 11:2.263466	 12:1	 13:2	 14:.844004	 15:4	 16:4
1	 1:1	 2:22.033129	 3:1.704223	 4:51.437985	 5:2	 6:2	 7:2.984425	 8:3	 9:2	 10:1	 11:2.044694	 12:1	 13:2.008256	 14:1.250871	 15:4	 16:4
1	 1:1	 2:20.744839	 3:1.667852	 4:49.803921	 5:2	 6:2	 7:2.977018	 8:3.193671	 9:2	 10:1	 11:2.482933	 12:1	 13:2	 14:1	 15:4	 16:4
1	 1:1	 2:22.547298	 3:1.722461	 4:51.881263	 5:2	 6:2	 7:2.663421	 8:3	 9:2	 10:1	 11:1.04111	 12:1	 13:.794402	 14:1.391948	 15:4	 16:4
1	 1:1	 2:21.837996	 3:1.588046	 4:44.236067	 5:1	 6:1	 7:3	 8:1.69608	 9:2	 10:1	 11:2.550307	 12:1	 13:1.098862	 14:0	 15:4	 16:4
1	 1:1	 2:23.035829	 3:1.598612	 4:42.993937	 5:1	 6:1	 7:2.753752	 8:2.812377	 9:2	 10:1	 11:2.346647	 12:1	 13:1.612248	 14:0	 15:4	 16:4
1	 1:1	 2:21.529439	 3:1.592379	 4:44.00945	 5:1	 6:1	 7:3	 8:1.612747	 9:2	 10:1	 11:2.566629	 12:1	 13:1.190465	 14:0	 15:4	 16:4
1	 1:1	 2:21.287999	 3:1.555778	 4:42.3601	 5:1	 6:1	 7:2.318355	 8:1.082304	 9:2	 10:1	 11:1.220365	 12:1	 13:.033328	 14:0	 15:4	 16:4
1	 1:1	 2:23.444286	 3:1.596466	 4:44.594588	 5:1	 6:1	 7:2.594653	 8:1.882158	 9:2	 10:1	 11:1.916812	 12:1	 13:.417119	 14:0	 15:4	 16:4
1	 1:1	 2:22.329041	 3:1.598393	 4:44.918255	 5:1	 6:1	 7:2.886157	 8:2.326233	 9:2	 10:1	 11:2.306821	 12:1	 13:1.42237	 14:0	 15:4	 16:4
1	 1:1	 2:18.91505	 3:1.633316	 4:45	 5:1	 6:2	 7:3	 8:3	 9:3	 10:1	 11:2.924594	 12:2	 13:1.352558	 14:.220087	 15:3	 16:4
1	 1:1	 2:19	 3:1.559567	 4:42.12617	 5:1	 6:2	 7:3	 8:1.989398	 9:3	 10:1	 11:2.241607	 12:1	 13:.206025	 14:.284453	 15:4	 16:4
1	 1:1	 2:19.052833	 3:1.546551	 4:42.069992	 5:1	 6:2	 7:3	 8:1.735493	 9:3	 10:1	 11:2.318736	 12:1	 13:1.193486	 14:.74568	 15:4	 16:4
1	 1:1	 2:19.59904	 3:1.566501	 4:41.706283	 5:1	 6:2	 7:2.967853	 8:1	 9:2	 10:1	 11:1.131185	 12:1	 13:0	 14:.504176	 15:3	 16:4
1	 1:1	 2:21	 3:1.52	 4:42	 5:1	 6:2	 7:3	 8:1	 9:2	 10:1	 11:1	 12:1	 13:0	 14:0	 15:3	 16:4
1	 1:1	 2:19.673262	 3:1.599486	 4:44.810751	 5:1	 6:1	 7:3	 8:2.974568	 9:2	 10:1	 11:1.145761	 12:2	 13:.87967	 14:0	 15:3	 16:4
1	 1:1	 2:20.244359	 3:1.559186	 4:41.952805	 5:1	 6:2	 7:2.619835	 8:1	 9:2	 10:1	 11:1.198883	 12:1	 13:0	 14:.751212	 15:3	 16:4
1	 1:1	 2:20.552695	 3:1.523426	 4:42	 5:1	 6:2	 7:3	 8:1	 9:2	 10:1	 11:1.185062	 12:1	 13:0	 14:.076654	 15:3	 16:4
1	 1:1	 2:21	 3:1.52	 4:42	 5:1	 6:2	 7:3	 8:1	 9:2	 10:1	 11:1	 12:1	 13:0	 14:0	 15:3	 16:4
1	 1:1	 2:21.997683	 3:1.689441	 4:51.107925	 5:2	 6:2	 7:3	 8:3.715118	 9:2	 10:1	 11:1.774576	 12:1	 13:.10297	 14:.646423	 15:4	 16:4
1	 1:1	 2:21.274628	 3:1.737453	 4:50.479039	 5:2	 6:2	 7:3	 8:3.489918	 9:2	 10:1	 11:1.326694	 12:1	 13:.791929	 14:.128394	 15:4	 16:4
1	 1:1	 2:18.909439	 3:1.732096	 4:50	 5:1	 6:2	 7:1.053534	 8:3.378859	 9:3	 10:1	 11:1	 12:1	 13:1.853425	 14:.861809	 15:3	 16:4
1	 1:2	 2:22.396504	 3:1.869098	 4:61.411141	 5:2	 6:2	 7:3	 8:3.263201	 9:3	 10:1	 11:2.233274	 12:1	 13:1.557737	 14:.000355	 15:3	 16:1
1	 1:2	 2:19.084317	 3:1.851123	 4:61.264785	 5:2	 6:2	 7:3	 8:3.994588	 9:3	 10:1	 11:2.548527	 12:1	 13:1.285976	 14:.267076	 15:3	 16:1
1	 1:2	 2:21.084625	 3:1.787264	 4:58.585146	 5:2	 6:2	 7:2.530233	 8:3.24934	 9:3	 10:1	 11:2.387945	 12:1	 13:1.976341	 14:1.672508	 15:4	 16:1
1	 1:2	 2:18.068767	 3:1.787787	 4:52	 5:2	 6:2	 7:3	 8:3	 9:3	 10:1	 11:2	 12:1	 13:.854337	 14:1	 15:3	 16:4
1	 1:1	 2:21.813083	 3:1.712515	 4:51.710723	 5:2	 6:2	 7:2.8813	 8:3.087544	 9:2	 10:1	 11:1.24818	 12:1	 13:1.952427	 14:.427461	 15:4	 16:4
1	 1:2	 2:18.038422	 3:1.698914	 4:51.692272	 5:2	 6:2	 7:2.824559	 8:3	 9:3	 10:1	 11:2	 12:1	 13:.533309	 14:1.099764	 15:3	 16:4
1	 1:1	 2:18.874591	 3:1.533609	 4:41.669346	 5:1	 6:2	 7:2.762325	 8:1.163666	 9:3	 10:1	 11:1.30491	 12:1	 13:.25289	 14:1.001405	 15:3	 16:4
