1	 1:.2	 2:.4	 3:0	 4:.0000277778	 5:0	 6:.993592814	 7:.0000277778	 8:.666666667	 9:5
1	 1:.028571429	 2:.066666667	 3:0	 4:.0000154321	 5:0	 6:.993592814	 7:.0000154321	 8:0	 9:3
1	 1:.022222222	 2:.066666667	 3:0	 4:.002947531	 5:0	 6:.993592814	 7:.002947531	 8:0	 9:3
1	 1:.006802721	 2:.052631579	 3:0	 4:.724006283	 5:.052631579	 6:0	 7:.724006283	 8:0	 9:7
2	 1:.263157895	 2:.263157895	 3:.5	 4:.796321098	 5:.052631579	 6:0	 7:.720560516	 8:.833333333	 9:7
1	 1:.028571429	 2:.111111111	 3:0	 4:.100539021	 5:0	 6:.676469483	 7:.100539021	 8:1	 9:7
1	 1:.6	 2:.333333333	 3:0	 4:.146044974	 5:0	 6:.676469483	 7:.146031746	 8:1	 9:7
1	 1:.022727273	 2:.111111111	 3:0	 4:.149029431	 5:0	 6:.676469483	 7:.149029431	 8:.9	 9:7
1	 1:.04	 2:.066666667	 3:0	 4:.002326389	 5:0	 6:.993592814	 7:.002326389	 8:0	 9:3
1	 1:.041666667	 2:.018518519	 3:0	 4:.626314484	 5:.666666667	 6:.999935281	 7:.626314484	 8:0	 9:7
2	 1:.075	 2:.3	 3:.5	 4:.807592593	 5:0	 6:0	 7:.807592593	 8:1	 9:1
1	 1:.015384615	 2:.029411765	 3:0	 4:.846349206	 5:.470588235	 6:.993592814	 7:.846349206	 8:0	 9:7
1	 1:.066666667	 2:.029411765	 3:0	 4:.974733796	 5:.470588235	 6:.993592814	 7:.974733796	 8:0	 9:7
1	 1:.083333333	 2:.041666667	 3:0	 4:.014039352	 5:.25	 6:0	 7:.014039352	 8:0	 9:3
1	 1:.012987013	 2:.071428571	 3:0	 4:.819442791	 5:0	 6:.993592814	 7:.819442791	 8:0	 9:7
1	 1:.0625	 2:.142857143	 3:0	 4:.965132275	 5:0	 6:.993592814	 7:.965127315	 8:.909090909	 9:7
1	 1:.2	 2:.380952381	 3:0	 4:.726168982	 5:.142857143	 6:0	 7:.726122685	 8:.866666667	 9:7
1	 1:.006802721	 2:.076923077	 3:0	 4:.0000092593	 5:0	 6:0	 7:.0000092593	 8:0	 9:5
1	 1:.054054054	 2:.058823529	 3:0	 4:.998311839	 5:.470588235	 6:.993592814	 7:.998311839	 8:0	 9:7
2	 1:.098591549	 2:.233333333	 3:1	 4:.895712963	 5:.4	 6:.993592814	 7:.130465278	 8:1	 9:5
2	 1:1	 2:.166666667	 3:.5	 4:.553761574	 5:.4	 6:.993592814	 7:.550395833	 8:1	 9:5
1	 1:.076923077	 2:.125	 3:0	 4:.13027392	 5:.25	 6:0	 7:.130243056	 8:.75	 9:3
1	 1:0	 2:.125	 3:0	 4:.004259259	 5:0	 6:0	 7:.004259259	 8:1	 9:1
1	 1:.081081081	 2:.375	 3:0	 4:.071041667	 5:0	 6:0	 7:.070925926	 8:.857142857	 9:1
1	 1:.09375	 2:.375	 3:0	 4:.276331019	 5:0	 6:0	 7:.276122685	 8:.923076923	 9:1
1	 1:.25	 2:.125	 3:0	 4:.381527778	 5:0	 6:0	 7:.381527778	 8:1	 9:1
1	 1:.003021148	 2:.090909091	 3:0	 4:.0000192901	 5:0	 6:0	 7:.0000192901	 8:0	 9:3
1	 1:.125	 2:.083333333	 3:0	 4:.377897377	 5:.25	 6:0	 7:.377808642	 8:0	 9:3
1	 1:.028571429	 2:.041666667	 3:0	 4:.913113426	 5:.25	 6:0	 7:.913113426	 8:0	 9:3
1	 1:.026666667	 2:.083333333	 3:0	 4:.975625	 5:.25	 6:0	 7:.000127315	 8:0	 9:3
1	 1:.181818182	 2:.181818182	 3:0	 4:.004696759	 5:0	 6:0	 7:.004657407	 8:.6	 9:5
1	 1:.052631579	 2:.090909091	 3:0	 4:.000428241	 5:0	 6:0	 7:.000428241	 8:0	 9:5
1	 1:.045454545	 2:.090909091	 3:0	 4:.009997685	 5:0	 6:0	 7:.009997685	 8:0	 9:5
1	 1:.142857143	 2:.272727273	 3:0	 4:.494569444	 5:0	 6:0	 7:.025733796	 8:1	 9:5
1	 1:.052631579	 2:.090909091	 3:0	 4:.011064815	 5:0	 6:0	 7:.011064815	 8:0	 9:5
1	 1:.010869565	 2:.083333333	 3:0	 4:.023909722	 5:0	 6:0	 7:.023909722	 8:0	 9:5
1	 1:1	 2:.25	 3:0	 4:.08212963	 5:0	 6:0	 7:.082115741	 8:1	 9:5
2	 1:.08	 2:.666666667	 3:1	 4:.284326389	 5:0	 6:0	 7:.013027778	 8:.666666667	 9:5
2	 1:.07826087	 2:.191489362	 3:1	 4:.639806548	 5:.617021277	 6:.993592814	 7:.639794974	 8:.87755102	 9:7
1	 1:.125	 2:.090909091	 3:0	 4:.011863426	 5:0	 6:0	 7:.011863426	 8:0	 9:5
1	 1:.666666667	 2:.4	 3:0	 4:.70393287	 5:.1	 6:0	 7:.70393287	 8:1	 9:5
1	 1:.2	 2:.055555556	 3:0	 4:.935568783	 5:0	 6:0	 7:.935568783	 8:0	 9:7
2	 1:.246753247	 2:.327586207	 3:1	 4:.759039352	 5:.689655172	 6:.993592814	 7:.747662037	 8:.923076923	 9:1
1	 1:.3	 2:.12	 3:0	 4:.973206019	 5:.64	 6:.993592814	 7:.973152778	 8:.875	 9:5
1	 1:.05	 2:.045454545	 3:0	 4:.013635913	 5:.181818182	 6:.993592814	 7:.013635913	 8:0	 9:7
1	 1:.015384615	 2:.01754386	 3:0	 4:.311875	 5:.684210526	 6:.993592814	 7:.311875	 8:0	 9:1
1	 1:.045454545	 2:.02	 3:0	 4:.971490741	 5:.64	 6:.993592814	 7:.971490741	 8:0	 9:5
1	 1:.333333333	 2:.02	 3:0	 4:.974601852	 5:.64	 6:.993592814	 7:.974601852	 8:0	 9:5
1	 1:.25	 2:.01754386	 3:0	 4:.54943287	 5:.684210526	 6:.993592814	 7:.54943287	 8:0	 9:1
1	 1:.058823529	 2:.01754386	 3:0	 4:.523217593	 5:.684210526	 6:.993592814	 7:.523217593	 8:0	 9:1
1	 1:.066666667	 2:.01754386	 3:0	 4:.532430556	 5:.684210526	 6:.993592814	 7:.532430556	 8:0	 9:1
2	 1:1	 2:.070175439	 3:1	 4:.709548611	 5:.684210526	 6:.993592814	 7:.546481482	 8:0	 9:1
1	 1:.041322314	 2:.065789474	 3:0	 4:.000325728	 5:.763157895	 6:.993592814	 7:.000120701	 8:0	 9:7
1	 1:.043478261	 2:.013157895	 3:0	 4:.296502976	 5:.763157895	 6:.993592814	 7:.296502976	 8:0	 9:7
1	 1:.074074074	 2:.052631579	 3:.5	 4:.130213294	 5:.763157895	 6:.993592814	 7:.129775132	 8:0	 9:7
1	 1:.2	 2:.013157895	 3:0	 4:.618888889	 5:.763157895	 6:.993592814	 7:.618888889	 8:0	 9:7
1	 1:.019607843	 2:.060606061	 3:0	 4:.49796627	 5:.454545455	 6:0	 7:.497954696	 8:0	 9:7
1	 1:.011235955	 2:.03030303	 3:0	 4:.73994213	 5:.454545455	 6:0	 7:.73994213	 8:0	 9:7
1	 1:.02	 2:.060606061	 3:0	 4:.514183201	 5:.454545455	 6:0	 7:.514178241	 8:0	 9:7
1	 1:.125	 2:.03030303	 3:0	 4:.919408069	 5:.454545455	 6:0	 7:.919408069	 8:0	 9:7
1	 1:.076923077	 2:.083333333	 3:0	 4:.050863095	 5:0	 6:0	 7:.050863095	 8:0	 9:7
1	 1:.031746032	 2:.166666667	 3:0	 4:.048804564	 5:0	 6:0	 7:.048804564	 8:.80952381	 9:7
1	 1:.071428571	 2:.083333333	 3:0	 4:.099183201	 5:0	 6:0	 7:.099183201	 8:0	 9:7
1	 1:.028571429	 2:.032258065	 3:0	 4:.0000132275	 5:.419354839	 6:.993592814	 7:.0000132275	 8:0	 9:7
2	 1:.625	 2:.151515152	 3:1	 4:.866071429	 5:.454545455	 6:0	 7:.846585648	 8:1	 9:7
2	 1:.571428571	 2:.363636364	 3:1	 4:.019414683	 5:0	 6:0	 7:.019408069	 8:.75	 9:7
1	 1:.016393443	 2:.034482759	 3:0	 4:.170266204	 5:.689655172	 6:.993592814	 7:.170231482	 8:0	 9:1
1	 1:.025	 2:.017241379	 3:0	 4:.257118056	 5:.689655172	 6:.993592814	 7:.257118056	 8:0	 9:1
1	 1:.003021148	 2:.083333333	 3:0	 4:.753834325	 5:0	 6:0	 7:.753834325	 8:0	 9:7
1	 1:.052631579	 2:.017241379	 3:0	 4:.285231482	 5:.689655172	 6:.993592814	 7:.285231482	 8:0	 9:1
1	 1:.181818182	 2:.08	 3:0	 4:.958773148	 5:.28	 6:.993592814	 7:.958764881	 8:0	 9:7
1	 1:.006802721	 2:.02	 3:0	 4:.890152778	 5:.64	 6:.993592814	 7:.890152778	 8:0	 9:5
1	 1:.021276596	 2:.04	 3:0	 4:.854032407	 5:.64	 6:.993592814	 7:.854032407	 8:0	 9:5
1	 1:.043478261	 2:.021276596	 3:0	 4:.93077877	 5:.617021277	 6:.993592814	 7:.93077877	 8:0	 9:7
1	 1:.003021148	 2:.166666667	 3:0	 4:.141468254	 5:0	 6:0	 7:.141468254	 8:.848214286	 9:7
1	 1:.090909091	 2:.666666667	 3:0	 4:.795257937	 5:0	 6:0	 7:.739763558	 8:.923076923	 9:7
1	 1:.007246377	 2:.166666667	 3:0	 4:.780340609	 5:0	 6:0	 7:.780340609	 8:.865671642	 9:7
1	 1:.090909091	 2:.2	 3:0	 4:.090034722	 5:0	 6:0	 7:.014219907	 8:.818181818	 9:5
1	 1:.05	 2:.0625	 3:0	 4:.266208664	 5:0	 6:0	 7:.266208664	 8:0	 9:7
1	 1:1	 2:.375	 3:0	 4:.270593585	 5:0	 6:0	 7:.010782077	 8:1	 9:7
1	 1:.12	 2:.090909091	 3:0	 4:.905663029	 5:.454545455	 6:.999935281	 7:.905663029	 8:0	 9:7
1	 1:.045454545	 2:.060606061	 3:0	 4:.906258267	 5:.454545455	 6:.999935281	 7:.906246693	 8:0	 9:7
1	 1:.230769231	 2:.090909091	 3:0	 4:.908809524	 5:.454545455	 6:.999935281	 7:.90879795	 8:0	 9:7
1	 1:.666666667	 2:.060606061	 3:0	 4:.193359788	 5:.454545455	 6:.999935281	 7:.193303571	 8:0	 9:7
1	 1:.014084507	 2:.03030303	 3:0	 4:.909697421	 5:.454545455	 6:.999935281	 7:.909697421	 8:0	 9:7
1	 1:.125	 2:.05	 3:0	 4:.9925	 5:.1	 6:.993592814	 7:.9925	 8:0	 9:1
2	 1:.076923077	 2:.3	 3:.5	 4:.048025794	 5:0	 6:0	 7:.032301587	 8:.5	 9:7
1	 1:.0625	 2:.142857143	 3:0	 4:.638948413	 5:0	 6:0	 7:.638948413	 8:.9	 9:7
1	 1:.048780488	 2:.285714286	 3:0	 4:.937015542	 5:0	 6:0	 7:.289877646	 8:1	 9:7
1	 1:.294117647	 2:.25	 3:0	 4:.918298611	 5:.1	 6:.993592814	 7:.918252315	 8:.75	 9:1
1	 1:.5	 2:.05	 3:0	 4:.943923611	 5:.1	 6:.993592814	 7:.943923611	 8:0	 9:1
2	 1:.086956522	 2:.228571429	 3:1	 4:.880522487	 5:.485714286	 6:.993592814	 7:.864808201	 8:.903225806	 9:7
1	 1:.5	 2:.029411765	 3:0	 4:.879969136	 5:.470588235	 6:.993592814	 7:.879969136	 8:0	 9:3
1	 1:.074074074	 2:.363636364	 3:0	 4:.000142196	 5:0	 6:0	 7:.0000165344	 8:.95	 9:7
1	 1:.25	 2:.026315789	 3:0	 4:.959785053	 5:.526315789	 6:.993592814	 7:.959785053	 8:0	 9:7
1	 1:.017241379	 2:.047619048	 3:0	 4:.796990741	 5:.142857143	 6:0	 7:.796990741	 8:0	 9:3
1	 1:.25	 2:.047619048	 3:0	 4:.823912037	 5:.142857143	 6:0	 7:.823912037	 8:0	 9:3
1	 1:.05	 2:.090909091	 3:0	 4:.117791005	 5:0	 6:0	 7:.117791005	 8:0	 9:7
1	 1:.014925373	 2:.047619048	 3:0	 4:.841118827	 5:.142857143	 6:0	 7:.841118827	 8:0	 9:3
1	 1:.045454545	 2:.047619048	 3:0	 4:.907914352	 5:.142857143	 6:.993592814	 7:.907914352	 8:0	 9:5
1	 1:.028571429	 2:.076923077	 3:0	 4:.100446429	 5:0	 6:0	 7:.100446429	 8:0	 9:7
1	 1:.018518519	 2:.047619048	 3:0	 4:.964180556	 5:.142857143	 6:.993592814	 7:.964180556	 8:0	 9:5
1	 1:.428571429	 2:.230769231	 3:0	 4:.812000661	 5:0	 6:0	 7:.811987434	 8:.75	 9:7
1	 1:.020408163	 2:.047619048	 3:0	 4:.99825463	 5:.142857143	 6:.993592814	 7:.99825463	 8:0	 9:5
1	 1:.2	 2:.307692308	 3:0	 4:.906155754	 5:0	 6:0	 7:.906155754	 8:1	 9:7
1	 1:.285714286	 2:.181818182	 3:0	 4:.805947421	 5:0	 6:0	 7:.74395668	 8:1	 9:7
1	 1:1	 2:.181818182	 3:0	 4:.882151124	 5:0	 6:0	 7:.723488757	 8:1	 9:7
1	 1:.010416667	 2:.028571429	 3:0	 4:.96317295	 5:.485714286	 6:.993592814	 7:.96317295	 8:0	 9:7
1	 1:.107692308	 2:.2	 3:0	 4:.935003307	 5:.485714286	 6:.993592814	 7:.835987103	 8:.923076923	 9:7
1	 1:.052631579	 2:.028571429	 3:0	 4:.982607474	 5:.485714286	 6:.993592814	 7:.982607474	 8:0	 9:7
1	 1:.0625	 2:.036363636	 3:0	 4:.530798611	 5:.672727273	 6:.99935281	 7:.53066358	 8:0	 9:3
1	 1:.007246377	 2:.018181818	 3:0	 4:.308479938	 5:.672727273	 6:.99935281	 7:.308479938	 8:0	 9:3
1	 1:.01754386	 2:.028571429	 3:0	 4:.99452877	 5:.485714286	 6:.993592814	 7:.99452877	 8:0	 9:7
1	 1:.1	 2:.057142857	 3:0	 4:.983718585	 5:.485714286	 6:.993592814	 7:.983713624	 8:0	 9:7
1	 1:.058823529	 2:.029411765	 3:0	 4:.919305556	 5:.470588235	 6:.993592814	 7:.919305556	 8:0	 9:3
1	 1:.047619048	 2:.029411765	 3:0	 4:.991385031	 5:.470588235	 6:.993592814	 7:.991385031	 8:0	 9:3
2	 1:.086419753	 2:.205882353	 3:1	 4:.953869599	 5:.470588235	 6:.993592814	 7:.950462963	 8:.885714286	 9:3
1	 1:.008196721	 2:.090909091	 3:0	 4:.997615741	 5:0	 6:.993592814	 7:.997615741	 8:0	 9:1
1	 1:.058823529	 2:.023809524	 3:0	 4:.984236111	 5:.571428571	 6:.993592814	 7:.984236111	 8:0	 9:5
1	 1:.03030303	 2:.052631579	 3:0	 4:.982164352	 5:.052631579	 6:.993592814	 7:.982164352	 8:0	 9:1
1	 1:.058823529	 2:.052631579	 3:0	 4:.992395833	 5:.052631579	 6:.993592814	 7:.992395833	 8:0	 9:1
1	 1:.04	 2:.052631579	 3:0	 4:.984930556	 5:.052631579	 6:.993592814	 7:.984930556	 8:0	 9:1
1	 1:.111111111	 2:.018181818	 3:0	 4:.43554784	 5:.672727273	 6:.99935281	 7:.43554784	 8:0	 9:3
1	 1:.029411765	 2:.018181818	 3:0	 4:.754598765	 5:.672727273	 6:.99935281	 7:.754598765	 8:0	 9:3
1	 1:.25	 2:.052631579	 3:0	 4:.79556713	 5:.052631579	 6:0	 7:.79556713	 8:0	 9:7
1	 1:.008403361	 2:.052631579	 3:0	 4:.926661706	 5:.052631579	 6:0	 7:.926661706	 8:0	 9:7
1	 1:.018518519	 2:.05	 3:0	 4:.999560185	 5:.1	 6:.993592814	 7:.999560185	 8:0	 9:1
1	 1:.03030303	 2:.071428571	 3:0	 4:.562731482	 5:0	 6:0	 7:.562731482	 8:0	 9:7
1	 1:.046153846	 2:.048387097	 3:0	 4:.127787698	 5:.709677419	 6:.993592814	 7:.127787698	 8:0	 9:7
1	 1:.095238095	 2:.086956522	 3:0	 4:.68306713	 5:.217391304	 6:0	 7:.68306713	 8:0	 9:1
1	 1:.043478261	 2:.2	 3:0	 4:.000960648	 5:0	 6:0	 7:.000960648	 8:1	 9:1
1	 1:0	 2:.2	 3:0	 4:.053159722	 5:0	 6:0	 7:.053159722	 8:1	 9:1
1	 1:0	 2:.034482759	 3:0	 4:.001215278	 5:.379310345	 6:0	 7:.001215278	 8:0	 9:3
1	 1:.003021148	 2:.034482759	 3:0	 4:.008626543	 5:.379310345	 6:0	 7:.008626543	 8:0	 9:3
1	 1:.020408163	 2:.176470588	 3:.5	 4:.000118056	 5:0	 6:0	 7:.000118056	 8:.8125	 9:5
1	 1:.028571429	 2:.047619048	 3:0	 4:.241168982	 5:.142857143	 6:.993592814	 7:.241168982	 8:0	 9:1
2	 1:.140350877	 2:.380952381	 3:1	 4:.763935185	 5:.142857143	 6:.993592814	 7:.763518519	 8:.866666667	 9:1
1	 1:.333333333	 2:.052631579	 3:0	 4:.860492725	 5:.052631579	 6:0	 7:.860492725	 8:0	 9:7
1	 1:.081081081	 2:.2	 3:0	 4:.102654321	 5:0	 6:.993592814	 7:.004791667	 8:.777777778	 9:3
1	 1:.027027027	 2:.066666667	 3:0	 4:.02470679	 5:0	 6:.993592814	 7:.02470679	 8:0	 9:3
1	 1:.014925373	 2:.018518519	 3:0	 4:.596390542	 5:.666666667	 6:.999935281	 7:.596390542	 8:0	 9:7
1	 1:.058823529	 2:.2	 3:0	 4:.0000081019	 5:0	 6:0	 7:.0000081019	 8:.5	 9:10
1	 1:.083333333	 2:.2	 3:0	 4:.005204861	 5:0	 6:0	 7:.005204861	 8:1	 9:10
1	 1:.027027027	 2:.2	 3:0	 4:.38733912	 5:0	 6:0	 7:.38733912	 8:.636363636	 9:10
1	 1:.08	 2:.4	 3:0	 4:.473502315	 5:0	 6:0	 7:.172472222	 8:.944444444	 9:10
1	 1:.035087719	 2:.074074074	 3:0	 4:.986420304	 5:.333333333	 6:.935280953	 7:.986420304	 8:0	 9:7
1	 1:.04	 2:.037037037	 3:0	 4:.994943783	 5:.333333333	 6:.935280953	 7:.994943783	 8:0	 9:7
1	 1:.051948052	 2:.148148148	 3:0	 4:.986441799	 5:.333333333	 6:.935280953	 7:.986430225	 8:.923076923	 9:7
1	 1:.021276596	 2:.222222222	 3:0	 4:.860830027	 5:0	 6:.676469483	 7:.858541667	 8:.884615385	 9:7
1	 1:.25	 2:.111111111	 3:0	 4:.897513228	 5:0	 6:.676469483	 7:.897513228	 8:1	 9:7
1	 1:.04	 2:.111111111	 3:0	 4:.927286706	 5:0	 6:.676469483	 7:.927286706	 8:1	 9:7
1	 1:.028571429	 2:.028571429	 3:0	 4:.8009375	 5:.485714286	 6:.993528095	 7:.8009375	 8:0	 9:1
1	 1:.06557377	 2:.222222222	 3:0	 4:.486496914	 5:.5	 6:.993592814	 7:.32939429	 8:.9	 9:3
1	 1:.022222222	 2:.027777778	 3:0	 4:.663993056	 5:.5	 6:.993592814	 7:.663993056	 8:0	 9:3
1	 1:.2	 2:.027777778	 3:0	 4:.826311728	 5:.5	 6:.993592814	 7:.826311728	 8:0	 9:3
1	 1:.185185185	 2:.138888889	 3:0	 4:.84097608	 5:.5	 6:.993592814	 7:.577878086	 8:1	 9:3
1	 1:.024793388	 2:.083333333	 3:0	 4:.846929012	 5:.5	 6:.993592814	 7:.800088735	 8:0	 9:3
1	 1:.01754386	 2:.1	 3:0	 4:.016099537	 5:0	 6:0	 7:.016099537	 8:.793103448	 9:7
1	 1:.008264463	 2:.1	 3:0	 4:.000436508	 5:0	 6:0	 7:.000436508	 8:.818181818	 9:7
1	 1:.464285714	 2:.361111111	 3:.5	 4:.988236883	 5:.5	 6:.993592814	 7:.845825617	 8:1	 9:3
1	 1:.010416667	 2:.027777778	 3:0	 4:.986990741	 5:.5	 6:.993592814	 7:.986990741	 8:0	 9:3
1	 1:.142857143	 2:.043478261	 3:0	 4:.0000181878	 5:.217391304	 6:0	 7:.0000181878	 8:0	 9:7
1	 1:.111111111	 2:.043478261	 3:0	 4:.0000049603	 5:.217391304	 6:0	 7:.0000049603	 8:0	 9:7
1	 1:.333333333	 2:.043478261	 3:0	 4:.0000496032	 5:.217391304	 6:0	 7:.0000496032	 8:0	 9:7
1	 1:.272727273	 2:.130434783	 3:0	 4:.224697421	 5:.217391304	 6:0	 7:.102926587	 8:1	 9:7
1	 1:.25	 2:.055555556	 3:0	 4:.665299273	 5:.666666667	 6:.999935281	 7:.60318287	 8:0	 9:7
1	 1:.055555556	 2:.018518519	 3:0	 4:.630142196	 5:.666666667	 6:.999935281	 7:.630142196	 8:0	 9:7
2	 1:.347826087	 2:.296296296	 3:1	 4:.816532738	 5:.666666667	 6:.999935281	 7:.023310185	 8:.833333333	 9:7
1	 1:.230769231	 2:.142857143	 3:0	 4:.000956019	 5:.142857143	 6:.993592814	 7:.000956019	 8:1	 9:5
1	 1:.5	 2:.19047619	 3:0	 4:.001976852	 5:.142857143	 6:.993592814	 7:.0000023148	 8:.666666667	 9:5
1	 1:.16	 2:.19047619	 3:.5	 4:.111164352	 5:.142857143	 6:.993592814	 7:.04637037	 8:1	 9:5
1	 1:.071428571	 2:.047619048	 3:0	 4:.048416667	 5:.142857143	 6:.993592814	 7:.048416667	 8:0	 9:5
1	 1:.010869565	 2:.047619048	 3:0	 4:.659025463	 5:.142857143	 6:.993592814	 7:.659025463	 8:0	 9:5
1	 1:.142857143	 2:.033333333	 3:0	 4:.000198413	 5:.4	 6:.676404764	 7:.000198413	 8:0	 9:7
1	 1:.016528926	 2:.25	 3:0	 4:.007480159	 5:0	 6:0	 7:.007461971	 8:.818181818	 9:7
1	 1:0	 2:.142857143	 3:0	 4:.14202381	 5:0	 6:0	 7:.14202381	 8:0	 9:7
2	 1:.285714286	 2:.571428571	 3:.5	 4:.147736442	 5:0	 6:0	 7:.147718254	 8:.8	 9:7
2	 1:.06	 2:.75	 3:1	 4:.251338735	 5:0	 6:0	 7:.25126929	 8:.666666667	 9:3
1	 1:.095238095	 2:.25	 3:0	 4:.264988426	 5:0	 6:0	 7:.264251543	 8:.916666667	 9:3
1	 1:.0125	 2:.142857143	 3:0	 4:.115636574	 5:0	 6:0	 7:.115636574	 8:.954545455	 9:1
1	 1:.007246377	 2:.142857143	 3:0	 4:.862476852	 5:0	 6:0	 7:.862476852	 8:.865671642	 9:1
1	 1:.04	 2:.142857143	 3:0	 4:.159126984	 5:0	 6:0	 7:.159126984	 8:.944444444	 9:7
1	 1:.003021148	 2:.142857143	 3:0	 4:.17265377	 5:0	 6:0	 7:.17265377	 8:.848214286	 9:7
2	 1:.081632653	 2:.133333333	 3:1	 4:.212543982	 5:.4	 6:.993592814	 7:.212458333	 8:.925925926	 9:5
1	 1:.03125	 2:.090909091	 3:0	 4:.028956019	 5:0	 6:0	 7:.028956019	 8:0	 9:5
1	 1:.095238095	 2:.181818182	 3:0	 4:.228634259	 5:0	 6:0	 7:.228625	 8:.916666667	 9:5
1	 1:.015384615	 2:.125	 3:0	 4:.0000033069	 5:0	 6:0	 7:.0000033069	 8:.916666667	 9:7
1	 1:.033333333	 2:.125	 3:0	 4:.001198743	 5:0	 6:0	 7:.001198743	 8:1	 9:7
1	 1:.016666667	 2:.125	 3:0	 4:.049126984	 5:0	 6:0	 7:.049126984	 8:.842105263	 9:7
1	 1:.2	 2:.066666667	 3:0	 4:.785608466	 5:0	 6:0	 7:.785608466	 8:0	 9:7
1	 1:.166666667	 2:.125	 3:0	 4:.029551918	 5:0	 6:0	 7:.029551918	 8:1	 9:7
1	 1:.5	 2:.125	 3:0	 4:.145639881	 5:0	 6:0	 7:.145639881	 8:1	 9:7
1	 1:.008196721	 2:.125	 3:0	 4:.630613426	 5:0	 6:0	 7:.630613426	 8:.9	 9:7
1	 1:.285714286	 2:.090909091	 3:0	 4:.167646605	 5:.181818182	 6:.995146071	 7:.167615741	 8:0	 9:3
1	 1:1	 2:.090909091	 3:0	 4:.308607253	 5:.181818182	 6:.995146071	 7:.195119599	 8:0	 9:3
1	 1:.03030303	 2:.125	 3:0	 4:.903718585	 5:0	 6:0	 7:.903718585	 8:.9	 9:7
1	 1:.003021148	 2:.045454545	 3:0	 4:.218179012	 5:.181818182	 6:.995146071	 7:.218179012	 8:0	 9:3
2	 1:.461538462	 2:.3	 3:1	 4:.792237654	 5:.1	 6:0	 7:.792091049	 8:1	 9:3
1	 1:.043478261	 2:.05	 3:0	 4:.870559414	 5:.1	 6:0	 7:.870559414	 8:0	 9:3
1	 1:.083333333	 2:.2	 3:0	 4:.843314935	 5:0	 6:.54696667	 7:.843314935	 8:.7	 9:3
1	 1:.008403361	 2:.055555556	 3:0	 4:.228209325	 5:0	 6:0	 7:.228209325	 8:0	 9:7
1	 1:.090909091	 2:.05	 3:0	 4:.975960648	 5:.1	 6:.993592814	 7:.975960648	 8:0	 9:5
1	 1:.028571429	 2:.05	 3:0	 4:.987141204	 5:.1	 6:.993592814	 7:.987141204	 8:0	 9:5
1	 1:.032786885	 2:.1	 3:0	 4:.99649537	 5:.1	 6:.993592814	 7:.996490741	 8:.833333333	 9:5
1	 1:1	 2:.111111111	 3:0	 4:.067986111	 5:.333333333	 6:.993592814	 7:.067986111	 8:1	 9:5
1	 1:.020618557	 2:.166666667	 3:0	 4:.829026124	 5:0	 6:0	 7:.829026124	 8:.75	 9:7
1	 1:.111111111	 2:.083333333	 3:0	 4:.962040344	 5:0	 6:0	 7:.962040344	 8:0	 9:7
1	 1:.015384615	 2:.025	 3:0	 4:.894962963	 5:.55	 6:.993592814	 7:.894962963	 8:0	 9:5
1	 1:.06	 2:.075	 3:0	 4:.967291667	 5:.55	 6:.993592814	 7:.96725	 8:0	 9:5
2	 1:.541666667	 2:.325	 3:1	 4:.931398148	 5:.55	 6:.993592814	 7:.93137037	 8:1	 9:5
1	 1:.08	 2:.05	 3:0	 4:.804543982	 5:.55	 6:.993592814	 7:.804534722	 8:0	 9:5
1	 1:.038961039	 2:.052631579	 3:0	 4:.895775463	 5:.684210526	 6:.993592814	 7:.878576389	 8:0	 9:1
1	 1:.03125	 2:.045454545	 3:0	 4:.073872355	 5:.181818182	 6:.993592814	 7:.073872355	 8:0	 9:7
1	 1:.1	 2:.026315789	 3:0	 4:.811405423	 5:.763157895	 6:.993592814	 7:.811392196	 8:0	 9:7
1	 1:.2	 2:.013157895	 3:0	 4:.888761574	 5:.763157895	 6:.993592814	 7:.888761574	 8:0	 9:7
1	 1:.022727273	 2:.03030303	 3:0	 4:.985039683	 5:.454545455	 6:0	 7:.985039683	 8:0	 9:7
2	 1:.047619048	 2:.136363636	 3:.5	 4:.136904762	 5:.181818182	 6:.993592814	 7:.066395503	 8:.80952381	 9:7
1	 1:0	 2:.02	 3:0	 4:.929773148	 5:.64	 6:.993592814	 7:.929773148	 8:0	 9:5
1	 1:.25	 2:.032258065	 3:0	 4:.0000132275	 5:.419354839	 6:.993592814	 7:.0000132275	 8:0	 9:7
2	 1:.282051282	 2:.5	 3:1	 4:.874239418	 5:.181818182	 6:.993592814	 7:.874232804	 8:1	 9:7
1	 1:.166666667	 2:.064516129	 3:0	 4:.0000231481	 5:.419354839	 6:.993592814	 7:.0000231481	 8:0	 9:7
1	 1:.019230769	 2:.013157895	 3:0	 4:.893774802	 5:.763157895	 6:.993592814	 7:.893774802	 8:0	 9:7
1	 1:.018126888	 2:.078947368	 3:.5	 4:.890367064	 5:.763157895	 6:.993592814	 7:.890367064	 8:0	 9:7
1	 1:.4	 2:.051282051	 3:0	 4:.0021875	 5:.538461538	 6:.993528095	 7:.0021875	 8:0	 9:7
1	 1:.045454545	 2:.025641026	 3:0	 4:.005684524	 5:.538461538	 6:.993528095	 7:.005684524	 8:0	 9:7
1	 1:.058823529	 2:.111111111	 3:0	 4:.411967593	 5:0	 6:0	 7:.411967593	 8:.888888889	 9:7
